LineNumber,Syllable,Anceps,Lucus,,
392,de,UNK,long,,
392,lu,long,long,,
392,bra,elision,elision,,
,,,,,
392,et,short,short,,
,,,,,
392,a,long,long,,
392,ras,UNK,long,,
,,,,,
392,cae,UNK,long,,
392,li,short,short,,
392,tum,elision,elision,,
,,,,,
392,et,long,long,,
,,,,,
392,pa,short,short,,
392,tri,short,short,,
392,os,long,long,,
,,,,,
392,la,short,short,,
392,res,UNK,long,,
,,,,,
393,post,UNK,short,?,
,,,,,
393,lon,long,long,,
393,ga,short,short,,
,,,,,
393,fes,long,long,,
393,sus,UNK,short,,
,,,,,
393,spa,short,short,,
393,ti,short,short,,
393,a,short,short,,
,,,,,
393,vix,long,long,?,
,,,,,
393,cre,UNK,long,,
393,dens,long,long,,
,,,,,
393,mi,short,short,,
393,hi,UNK,short,,
,,,,,
394,sup,UNK,short,,
394,plex,long,long,,
,,,,,
394,a,short,short,,
394,do,long,long,,
394,ro,UNK,long,?,
,,,,,
394,vo,long,long,,
394,ta,short,short,,
,,,,,
394,su,short,short,,
394,pe,short,short,,
394,ris,UNK,long,,
,,,,,
394,sol,long,long,,
394,vi,short,short,,
394,te,UNK,short,,
,,,,,
395,tel,UNK,long,,
395,lu,long,long,,
395,ris,short,short,,
,,,,,
395,al,long,long,,
395,tum,UNK,short,,
,,,,,
395,re,short,short,,
395,me,short,short,,
395,at,short,short,,
,,,,,
395,ar,long,long,,
395,go,short,short,,
395,li,short,short,,
395,cae,UNK,long,,
,,,,,
395,de,short,short,,
395,cus,UNK,short,,
,,,,,
396,tan,UNK,short,,
396,dem,elision,elision,,
,,,,,
396,ad,long,long,,
,,,,,
396,pe,short,short,,
396,na,long,long,,
396,tes,UNK,long,,
,,,,,
396,vic,long,long,,
396,tor,short,short,,
,,,,,
396,a,short,short,,
396,ga,short,short,,
396,mem,UNK,long,?,
396,non,long,long,,
,,,,,
396,su,short,short,,
396,os,UNK,long,,
,,,,,
397,fe,UNK,long,,
397,lix,long,long,,
,,,,,
397,ad,short,short,,
,,,,,
397,au,UNK,long,,
397,res,UNK,long,,
,,,,,
397,nun,long,long,,
397,ti,short,short,,
397,us,long,long,,
,,,,,
397,ve,UNK,short,he comes,
397,nit,long,long,,
,,,,,
397,me,short,short,,
397,as,UNK,long,,
,,,,,
398,u,short,short,,
398,bi,short,short,,
398,nam,long,long,,
,,,,,
398,pe,short,short,,
398,ti,long,long,,
398,tus,UNK,short,,
,,,,,
398,per,long,long,,
,,,,,
398,de,short,short,,
398,cem,long,long,,
,,,,,
398,con,UNK,short,,
398,junx,long,long,,
,,,,,
398,mi,short,short,,
398,hi,UNK,short,,
,,,,,
399,an,UNK,short,,
399,nos,long,long,,
,,,,,
399,mo,short,short,,
399,ra,long,long,,
399,tur,UNK,short,,
,,,,,
399,pe,short,short,,
399,la,short,short,,
399,gus,short,short,,
,,,,,
399,an,long,long,,
399,ter,UNK,short,,
399,ras,long,long,,
,,,,,
399,pre,short,short,,
399,mit,UNK,short,,
,,,,,
400,in,UNK,short,,
400,co,short,short,,
400,lu,short,short,,
400,mis,short,short,,
,,,,,
400,auc,UNK,long,,
400,tus,UNK,short,,
,,,,,
400,glo,long,long,,
400,ri,short,short,,
400,a,long,long,,
,,,,,
400,lau,UNK,long,,
400,de,elision,elision,,
,,,,,
400,in,long,long,,
400,cli,short,short,,
400,tus,UNK,short,,
,,,,,
401,re,short,short,,
401,du,short,short,,
401,cem,elision,elision,,
,,,,,
401,ex,long,long,,
401,pe,short,short,,
401,ti,long,long,,
401,to,UNK,short,?,part?
,,,,,
401,li,long,long,,
401,to,short,short,,
401,ri,elision,elision,,
,,,,,
401,im,long,long,,
401,pres,UNK,short,,
401,sit,long,long,,
,,,,,
401,pe,short,short,,
401,dem,UNK,short,,
,,,,,
402,sa,UNK,short,,
402,cris,long,long,,
,,,,,
402,co,short,short,,
402,la,long,long,,
402,mus,UNK,short,,
,,,,,
402,pros,long,long,,
402,pe,short,short,,
402,rum,long,long,,
,,,,,
402,tan,UNK,short,,
402,dem,long,long,,
,,,,,
402,di,short,short,,
402,em,UNK,short,,
,,,,,
403,et,UNK,short,,
,,,,,
403,si,long,long,,
,,,,,
403,pro,short,short,,
403,pi,short,short,,
403,ti,short,short,,
403,os,UNK,long,,
,,,,,
403,at,long,long,,
403,ta,short,short,,
403,men,long,long,,
,,,,,
403,len,UNK,short,,
403,tos,long,long,,
,,,,,
403,de,short,short,,
403,os,UNK,long,,
,,,,,
404,tu,UNK,long,,
,,,,,
