,predictor,predictee,score
0,Pers,Pers,95.5
1,Pers,Verg,82.8
2,Pers,Catvll,76.2
3,Pers,Ov,72.1
4,Pers,Lvcr,77.1
5,Pers,Ivv,81.6
6,Verg,Pers,86.1
7,Verg,Verg,96.4
8,Verg,Catvll,81.9
9,Verg,Ov,84.7
10,Verg,Lvcr,83.3
11,Verg,Ivv,89.5
12,Catvll,Pers,72.0
13,Catvll,Verg,81.1
14,Catvll,Catvll,93.7
15,Catvll,Ov,72.5
16,Catvll,Lvcr,72.9
17,Catvll,Ivv,79.9
18,Ov,Pers,80.6
19,Ov,Verg,85.9
20,Ov,Catvll,80.0
21,Ov,Ov,89.3
22,Ov,Lvcr,80.3
23,Ov,Ivv,84.4
24,Lvcr,Pers,82.2
25,Lvcr,Verg,86.7
26,Lvcr,Catvll,75.5
27,Lvcr,Ov,74.3
28,Lvcr,Lvcr,93.2
29,Lvcr,Ivv,86.5
30,Ivv,Pers,80.6
31,Ivv,Verg,86.0
32,Ivv,Catvll,76.6
33,Ivv,Ov,75.1
34,Ivv,Lvcr,82.1
35,Ivv,Ivv,93.4
