,predictor,predictee,score
0,Pers,Pers,96.0
1,Pers,Verg,84.7
2,Pers,Catvll,77.1
3,Pers,Ov,74.6
4,Pers,Lvcr,79.2
5,Pers,Ivv,83.9
6,Verg,Pers,87.2
7,Verg,Verg,96.8
8,Verg,Catvll,82.6
9,Verg,Ov,87.5
10,Verg,Lvcr,85.0
11,Verg,Ivv,90.1
12,Catvll,Pers,75.4
13,Catvll,Verg,82.3
14,Catvll,Catvll,94.6
15,Catvll,Ov,74.5
16,Catvll,Lvcr,74.7
17,Catvll,Ivv,82.4
18,Ov,Pers,82.6
19,Ov,Verg,87.3
20,Ov,Catvll,82.1
21,Ov,Ov,91.9
22,Ov,Lvcr,82.3
23,Ov,Ivv,87.1
24,Lvcr,Pers,82.3
25,Lvcr,Verg,86.5
26,Lvcr,Catvll,75.7
27,Lvcr,Ov,73.6
28,Lvcr,Lvcr,94.1
29,Lvcr,Ivv,87.1
30,Ivv,Pers,81.8
31,Ivv,Verg,86.9
32,Ivv,Catvll,79.0
33,Ivv,Ov,77.4
34,Ivv,Lvcr,83.7
35,Ivv,Ivv,94.7
