,predictor,predictee,score
0,Pers,Pers,94.6
1,Pers,Verg,88.5
2,Pers,Catvll,88.4
3,Pers,Ov,86.9
4,Pers,Lvcr,87.9
5,Pers,Ivv,88.9
6,Verg,Pers,89.5
7,Verg,Verg,93.3
8,Verg,Catvll,90.7
9,Verg,Ov,90.2
10,Verg,Lvcr,90.0
11,Verg,Ivv,89.9
12,Catvll,Pers,87.3
13,Catvll,Verg,88.8
14,Catvll,Catvll,95.0
15,Catvll,Ov,86.7
16,Catvll,Lvcr,88.0
17,Catvll,Ivv,87.7
18,Ov,Pers,89.9
19,Ov,Verg,91.8
20,Ov,Catvll,90.7
21,Ov,Ov,92.0
22,Ov,Lvcr,90.6
23,Ov,Ivv,90.4
24,Lvcr,Pers,88.8
25,Lvcr,Verg,89.8
26,Lvcr,Catvll,89.4
27,Lvcr,Ov,88.2
28,Lvcr,Lvcr,93.1
29,Lvcr,Ivv,89.0
30,Ivv,Pers,89.9
31,Ivv,Verg,90.6
32,Ivv,Catvll,89.3
33,Ivv,Ov,89.1
34,Ivv,Lvcr,89.8
35,Ivv,Ivv,92.8
