,predictor,predictee,score
0,Pers,Pers,94.6
1,Pers,Verg,88.4
2,Pers,Catvll,88.2
3,Pers,Ov,86.8
4,Pers,Lvcr,87.9
5,Pers,Ivv,89.0
6,Verg,Pers,89.5
7,Verg,Verg,93.3
8,Verg,Catvll,90.6
9,Verg,Ov,90.1
10,Verg,Lvcr,89.9
11,Verg,Ivv,89.9
12,Catvll,Pers,87.3
13,Catvll,Verg,88.8
14,Catvll,Catvll,95.0
15,Catvll,Ov,86.7
16,Catvll,Lvcr,88.0
17,Catvll,Ivv,87.9
18,Ov,Pers,89.7
19,Ov,Verg,91.8
20,Ov,Catvll,90.7
21,Ov,Ov,91.9
22,Ov,Lvcr,90.5
23,Ov,Ivv,90.5
24,Lvcr,Pers,88.7
25,Lvcr,Verg,89.8
26,Lvcr,Catvll,89.3
27,Lvcr,Ov,88.1
28,Lvcr,Lvcr,93.1
29,Lvcr,Ivv,89.0
30,Ivv,Pers,89.7
31,Ivv,Verg,90.5
32,Ivv,Catvll,89.3
33,Ivv,Ov,89.0
34,Ivv,Lvcr,89.8
35,Ivv,Ivv,92.8
