,predictor,predictee,score
0,Pers,Pers,94.5
1,Pers,Verg,88.3
2,Pers,Catvll,88.3
3,Pers,Ov,86.6
4,Pers,Lvcr,87.9
5,Pers,Ivv,88.8
6,Verg,Pers,89.4
7,Verg,Verg,93.3
8,Verg,Catvll,90.7
9,Verg,Ov,90.1
10,Verg,Lvcr,89.9
11,Verg,Ivv,89.9
12,Catvll,Pers,87.2
13,Catvll,Verg,88.6
14,Catvll,Catvll,95.1
15,Catvll,Ov,86.4
16,Catvll,Lvcr,87.8
17,Catvll,Ivv,87.6
18,Ov,Pers,89.9
19,Ov,Verg,91.8
20,Ov,Catvll,90.7
21,Ov,Ov,92.0
22,Ov,Lvcr,90.6
23,Ov,Ivv,90.4
24,Lvcr,Pers,88.7
25,Lvcr,Verg,89.8
26,Lvcr,Catvll,89.3
27,Lvcr,Ov,88.1
28,Lvcr,Lvcr,93.1
29,Lvcr,Ivv,88.9
30,Ivv,Pers,89.9
31,Ivv,Verg,90.5
32,Ivv,Catvll,89.4
33,Ivv,Ov,89.0
34,Ivv,Lvcr,89.8
35,Ivv,Ivv,92.7
