,predictor,predictee,score
0,Pers,Pers,91.3
1,Pers,Verg,80.3
2,Pers,Catvll,77.7
3,Pers,Ov,81.7
4,Pers,Lvcr,79.4
5,Pers,Ivv,81.5
6,Verg,Pers,82.6
7,Verg,Verg,89.1
8,Verg,Catvll,82.9
9,Verg,Ov,86.9
10,Verg,Lvcr,83.7
11,Verg,Ivv,83.5
12,Catvll,Pers,77.4
13,Catvll,Verg,79.9
14,Catvll,Catvll,90.2
15,Catvll,Ov,80.6
16,Catvll,Lvcr,78.9
17,Catvll,Ivv,78.7
18,Ov,Pers,83.7
19,Ov,Verg,86.6
20,Ov,Catvll,83.1
21,Ov,Ov,89.5
22,Ov,Lvcr,84.8
23,Ov,Ivv,84.9
24,Lvcr,Pers,81.5
25,Lvcr,Verg,82.7
26,Lvcr,Catvll,80.2
27,Lvcr,Ov,83.8
28,Lvcr,Lvcr,88.8
29,Lvcr,Ivv,81.9
30,Ivv,Pers,83.4
31,Ivv,Verg,84.1
32,Ivv,Catvll,80.0
33,Ivv,Ov,85.3
34,Ivv,Lvcr,83.0
35,Ivv,Ivv,88.5
