,predictor,predictee,score
0,Pers,Pers,91.4
1,Pers,Verg,80.1
2,Pers,Catvll,77.4
3,Pers,Ov,81.6
4,Pers,Lvcr,79.4
5,Pers,Ivv,81.6
6,Verg,Pers,82.6
7,Verg,Verg,89.1
8,Verg,Catvll,82.6
9,Verg,Ov,86.7
10,Verg,Lvcr,83.6
11,Verg,Ivv,83.6
12,Catvll,Pers,77.3
13,Catvll,Verg,80.0
14,Catvll,Catvll,90.2
15,Catvll,Ov,80.5
16,Catvll,Lvcr,79.0
17,Catvll,Ivv,78.9
18,Ov,Pers,83.5
19,Ov,Verg,86.6
20,Ov,Catvll,83.0
21,Ov,Ov,89.4
22,Ov,Lvcr,84.7
23,Ov,Ivv,85.1
24,Lvcr,Pers,81.3
25,Lvcr,Verg,82.7
26,Lvcr,Catvll,80.0
27,Lvcr,Ov,83.7
28,Lvcr,Lvcr,88.8
29,Lvcr,Ivv,81.8
30,Ivv,Pers,83.1
31,Ivv,Verg,84.0
32,Ivv,Catvll,80.3
33,Ivv,Ov,85.2
34,Ivv,Lvcr,83.0
35,Ivv,Ivv,88.5
