EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	10:46:33	0	0.1000	0.8146841347726855	0.4830988049507141	0.7964	0.7964	0.7964	0.7964
2	10:47:03	0	0.1000	0.492695953479898	0.4179651141166687	0.8274	0.8274	0.8274	0.8274
3	10:47:35	0	0.1000	0.4411305757942883	0.384084552526474	0.829	0.829	0.829	0.829
4	10:48:09	0	0.1000	0.4135002838493201	0.3724208474159241	0.8303	0.8303	0.8303	0.8303
5	10:48:42	0	0.1000	0.3952218278302703	0.3427790105342865	0.8454	0.8454	0.8454	0.8454
6	10:49:13	0	0.1000	0.37626038413074636	0.3204035758972168	0.8572	0.8572	0.8572	0.8572
7	10:49:47	0	0.1000	0.35163502754087367	0.29511693120002747	0.8675	0.8675	0.8675	0.8675
8	10:50:24	0	0.1000	0.32650777722857627	0.2769974172115326	0.8765	0.8765	0.8765	0.8765
9	10:51:01	0	0.1000	0.30906939204700595	0.24978500604629517	0.8919	0.8919	0.8919	0.8919
10	10:51:33	0	0.1000	0.28643531135426303	0.2430860996246338	0.9029	0.9029	0.9029	0.9029
