EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	14:31:10	0	0.1000	0.2514094301704957	0.07826527953147888	0.9718	0.9718	0.9718	0.9718
2	15:05:17	0	0.1000	0.10883065557868785	0.053297024220228195	0.9809	0.9809	0.9809	0.9809
3	15:40:46	0	0.1000	0.08327667736952596	0.04081840068101883	0.986	0.986	0.986	0.986
4	16:18:13	0	0.1000	0.07201847422617355	0.032533518970012665	0.989	0.989	0.989	0.989
5	16:55:12	0	0.1000	0.06426657306485414	0.02970992401242256	0.9901	0.9901	0.9901	0.9901
6	17:32:00	0	0.1000	0.05860353736241368	0.026952503249049187	0.9914	0.9914	0.9914	0.9914
7	18:11:18	0	0.1000	0.05456235565957894	0.02478458359837532	0.9923	0.9923	0.9923	0.9923
8	18:49:49	0	0.1000	0.05161576654736855	0.023616326972842216	0.9928	0.9928	0.9928	0.9928
9	19:27:59	0	0.1000	0.048820374214050305	0.022193465381860733	0.9929	0.9929	0.9929	0.9929
10	20:05:39	0	0.1000	0.04694153902071514	0.02181483432650566	0.9934	0.9934	0.9934	0.9934
