title,line,syllable,length
1,1,vi,short
1,1,de,short
1,1,o,long
1,1,-,space
1,1,tri,short
1,1,vi,short
1,1,ae,long
1,1,-,space
1,1,cur,long
1,1,rus,long
1,1,-,space
1,1,a,short
1,1,gi,short
1,1,les,long
1,2,non,long
1,2,-,space
1,2,quos,long
1,2,-,space
1,2,ple,long
1,2,no,long
1,2,-,space
1,2,lu,long
1,2,ci,short
1,2,da,short
1,2,-,space
1,2,vul,long
1,2,tu,long
1,3,per,long
1,3,nox,long
1,3,-,space
1,3,a,short
1,3,gi,short
1,3,tat,long
1,4,sed,long
1,4,-,space
1,4,quos,long
1,4,-,space
1,4,fa,short
1,4,ci,short
1,4,e,long
1,4,-,space
1,4,lu,long
1,4,ri,short
1,4,da,short
1,4,-,space
1,4,mae,long
1,4,sta,long
1,5,cum,long
1,5,-,space
1,5,thes,long
1,5,sa,short
1,5,li,short
1,5,cis,long
1,5,-,space
1,5,ve,short
1,5,xa,long
1,5,ta,short
1,5,-,space
1,5,mi,short
1,5,nis,long
1,6,cae,long
1,6,lum,long
1,6,-,space
1,6,fre,long
1,6,no,long
1,6,-,space
1,6,pro,short
1,6,pi,short
1,6,o,long
1,6,re,short
1,6,-,space
1,6,le,short
1,6,git,long
1,7,sic,long
1,7,-,space
1,7,fa,short
1,7,ce,short
1,7,-,space
1,7,tris,long
1,7,tem,long
1,7,-,space
1,7,pal,short
1,7,li,short
1,7,da,long
1,7,-,space
1,7,lu,long
1,7,cem,long
1,8,fun,long
1,8,de,short
1,8,-,space
1,8,per,short
1,8,-,space
1,8,au,long
1,8,ras,long
1,9,hor,long
1,9,ro,long
1,9,re,short
1,9,-,space
1,9,no,short
1,9,vo,long
1,9,-,space
1,9,ter,long
1,9,re,short
1,9,-,space
1,9,po,short
1,9,pu,short
1,9,los,long
1,10,in,long
1,10,que,elision
1,10,-,space
1,10,au,long
1,10,xi,short
1,10,li,short
1,10,um,long
1,10,-,space
1,10,dic,long
1,10,tyn,long
1,10,na,short
1,10,-,space
1,10,tu,short
1,10,um,long
1,11,pre,short
1,11,ti,short
1,11,o,long
1,11,sa,short
1,11,-,space
1,11,so,short
1,11,nent,long
1,11,-,space
1,11,ae,long
1,11,ra,short
1,11,-,space
1,11,co,short
1,11,rin,long
1,11,thi,long
