title,line,syllable,length
1,1,quo,long
1,1,nam,long
1,1,-,space
1,1,cru,short
1,1,en,long
1,1,ta,short
1,1,-,space
1,1,mae,long
1,1,nas,long
1,2,prae,long
1,2,ceps,long
1,2,-,space
1,2,a,short
1,2,mo,long
1,2,re,short
1,2,-,space
1,2,sae,long
1,2,vo,long
1,3,ra,short
1,3,pi,short
1,3,tur,long
1,3,-,space
1,3,quod,long
1,3,-,space
1,3,im,long
1,3,po,short
1,3,ten,long
1,3,ti,long
1,4,fa,short
1,4,ci,short
1,4,nus,long
1,4,-,space
1,4,pa,short
1,4,rat,long
1,4,-,space
1,4,fu,short
1,4,ro,long
1,4,re,short
1,5,vul,long
1,5,tus,long
1,5,-,space
1,5,ci,short
1,5,ta,long
1,5,tus,short
1,5,-,space
1,5,I,long
1,5,ra,long
1,6,ri,short
1,6,get,short
1,6,-,space
1,6,et,long
1,6,-,space
1,6,ca,short
1,6,put,long
1,6,-,space
1,6,fe,short
1,6,ro,long
1,6,ci,long
1,7,qua,short
1,7,ti,short
1,7,ens,long
1,7,-,space
1,7,su,short
1,7,per,long
1,7,ba,long
1,7,-,space
1,7,mo,long
1,7,tu,long
1,8,re,long
1,8,gi,long
1,8,-,space
1,8,mi,short
1,8,na,long
1,8,tur,short
1,8,-,space
1,8,ul,long
1,8,tro,long
