,LineNumber,Syllable,Anceps,Lucus,Unnamed: 4,Unnamed: 5
0,392.0,de,UNK,long,,
1,392.0,lu,long,long,,
2,392.0,bra,elision,elision,,
3,392.0,-,,space,,
4,392.0,et,short,short,,
5,392.0,-,,space,,
6,392.0,a,long,long,,
7,392.0,ras,UNK,long,,
8,392.0,-,,space,,
9,392.0,cae,UNK,long,,
10,392.0,li,short,short,,
11,392.0,tum,elision,elision,,
12,392.0,-,,space,,
13,392.0,et,long,long,,
14,392.0,-,,space,,
15,392.0,pa,short,short,,
16,392.0,tri,short,short,,
17,392.0,os,long,long,,
18,392.0,-,,space,,
19,392.0,la,short,short,,
20,392.0,res,UNK,long,,
21,392.0,-,,space,,
22,393.0,post,UNK,short,?,
23,393.0,-,,space,,
24,393.0,lon,long,long,,
25,393.0,ga,short,short,,
26,393.0,-,,space,,
27,393.0,fes,long,long,,
28,393.0,sus,UNK,short,,
29,393.0,-,,space,,
30,393.0,spa,short,short,,
31,393.0,ti,short,short,,
32,393.0,a,short,short,,
33,393.0,-,,space,,
34,393.0,vix,long,long,?,
35,393.0,-,,space,,
36,393.0,cre,UNK,long,,
37,393.0,dens,long,long,,
38,393.0,-,,space,,
39,393.0,mi,short,short,,
40,393.0,hi,UNK,short,,
41,393.0,-,,space,,
42,394.0,sup,UNK,short,,
43,394.0,plex,long,long,,
44,394.0,-,,space,,
45,394.0,a,short,short,,
46,394.0,do,long,long,,
47,394.0,ro,UNK,long,?,
48,394.0,-,,space,,
49,394.0,vo,long,long,,
50,394.0,ta,short,short,,
51,394.0,-,,space,,
52,394.0,su,short,short,,
53,394.0,pe,short,short,,
54,394.0,ris,UNK,long,,
55,394.0,-,,space,,
56,394.0,sol,long,long,,
57,394.0,vi,short,short,,
58,394.0,te,UNK,short,,
59,394.0,-,,space,,
60,395.0,tel,UNK,long,,
61,395.0,lu,long,long,,
62,395.0,ris,short,short,,
63,395.0,-,,space,,
64,395.0,al,long,long,,
65,395.0,tum,UNK,short,,
66,395.0,-,,space,,
67,395.0,re,short,short,,
68,395.0,me,short,short,,
69,395.0,at,short,short,,
70,395.0,-,,space,,
71,395.0,ar,long,long,,
72,395.0,go,short,short,,
73,395.0,li,short,short,,
74,395.0,cae,UNK,long,,
75,395.0,-,,space,,
76,395.0,de,short,short,,
77,395.0,cus,UNK,short,,
78,395.0,-,,space,,
79,396.0,tan,UNK,short,,
80,396.0,dem,elision,elision,,
81,396.0,-,,space,,
82,396.0,ad,long,long,,
83,396.0,-,,space,,
84,396.0,pe,short,short,,
85,396.0,na,long,long,,
86,396.0,tes,UNK,long,,
87,396.0,-,,space,,
88,396.0,vic,long,long,,
89,396.0,tor,short,short,,
90,396.0,-,,space,,
91,396.0,a,short,short,,
92,396.0,ga,short,short,,
93,396.0,mem,UNK,long,?,
94,396.0,non,long,long,,
95,396.0,-,,space,,
96,396.0,su,short,short,,
97,396.0,os,UNK,long,,
98,396.0,-,,space,,
99,397.0,fe,UNK,long,,
100,397.0,lix,long,long,,
101,397.0,-,,space,,
102,397.0,ad,short,short,,
103,397.0,-,,space,,
104,397.0,au,UNK,long,,
105,397.0,res,UNK,long,,
106,397.0,-,,space,,
107,397.0,nun,long,long,,
108,397.0,ti,short,short,,
109,397.0,us,long,long,,
110,397.0,-,,space,,
111,397.0,ve,UNK,short,he comes,
112,397.0,nit,long,long,,
113,397.0,-,,space,,
114,397.0,me,short,short,,
115,397.0,as,UNK,long,,
116,397.0,-,,space,,
117,398.0,u,short,short,,
118,398.0,bi,short,short,,
119,398.0,nam,long,long,,
120,398.0,-,,space,,
121,398.0,pe,short,short,,
122,398.0,ti,long,long,,
123,398.0,tus,UNK,short,,
124,398.0,-,,space,,
