title,line,syllable,length
1,1,com,long
1,1,pre,short
1,1,cor,long
1,1,-,space
1,1,vul,long
1,1,gus,long
1,1,-,space
1,1,si,short
1,1,len,long
1,1,tum,long
1,1,-,space
1,1,vos,long
1,1,que,short
1,1,-,space
1,1,fe,long
1,1,ra,long
1,1,les,long
1,1,-,space
1,1,de,short
1,1,os,long
1,2,et,long
1,2,-,space
1,2,cha,short
1,2,os,long
1,2,-,space
1,2,cae,long
1,2,cum,elision
1,2,-,space
1,2,at,long
1,2,que,elision
1,2,-,space
1,2,o,short
1,2,pa,long
1,2,cam,long
1,2,-,space
1,2,di,long
1,2,tis,short
1,2,-,space
1,2,um,long
1,2,bro,long
1,2,si,long
1,2,-,space
1,2,do,short
1,2,mum,long
1,3,tar,long
1,3,ta,short
1,3,ri,long
1,3,-,space
1,3,ri,long
1,3,pis,long
1,3,-,space
1,3,li,short
1,3,ga,long
1,3,tos,long
1,3,-,space
1,3,squa,long
1,3,li,short
1,3,dae,long
1,3,-,space
1,3,mor,long
1,3,tis,long
1,3,-,space
1,3,spe,short
1,3,cus,long
1,4,sup,long
1,4,pli,short
1,4,cis,long
1,4,-,space
1,4,a,short
1,4,ni,short
1,4,mae,long
1,4,-,space
1,4,re,short
1,4,mis,long
1,4,sis,long
1,4,-,space
1,4,cur,long
1,4,ri,short
1,4,te,elision
1,4,-,space
1,4,ad,long
1,4,-,space
1,4,tha,short
1,4,la,short
1,4,mos,long
1,4,-,space
1,4,no,short
1,4,vos,long
1,5,ro,long
1,5,ta,short
1,5,-,space
1,5,re,short
1,5,si,long
1,5,stat,long
1,5,-,space
1,5,mem,long
1,5,bra,short
1,5,-,space
1,5,tor,long
1,5,quens,long
1,5,-,space
1,5,tan,long
1,5,gat,short
1,5,-,space
1,5,I,long
1,5,xion,long
1,5,-,space
1,5,hu,short
1,5,mum,long
1,6,tan,long
1,6,ta,short
1,6,lus,long
1,6,-,space
1,6,se,long
1,6,cu,long
1,6,rus,short
1,6,-,space
1,6,un,long
1,6,das,long
1,6,-,space
1,6,hau,long
1,6,ri,short
1,6,at,long
1,6,-,space
1,6,pi,long
1,6,ren,long
1,6,I,long
1,6,das,long
1,7,gra,short
1,7,vi,short
1,7,or,long
1,7,-,space
1,7,u,long
1,7,ni,long
1,7,-,space
1,7,poe,long
1,7,na,short
1,7,-,space
1,7,se,short
1,7,de,short
1,7,at,long
1,7,-,space
1,7,con,long
1,7,iu,long
1,7,gis,long
1,7,-,space
1,7,so,short
1,7,ce,short
1,7,ro,long
1,7,-,space
1,7,mei,long
1,8,lu,long
1,8,bri,short
1,8,cus,long
1,8,-,space
1,8,per,long
1,8,-,space
1,8,sa,long
1,8,xa,short
1,8,-,space
1,8,re,long
1,8,tro,long
1,8,-,space
1,8,si,long
1,8,sy,short
1,8,phum,long
1,8,-,space
1,8,sol,long
1,8,vat,long
1,8,-,space
1,8,la,short
1,8,pis,long
