Source,Target,Weight,Type
catv,ivv,3,undirected
catv,lvcr,2,undirected
catv,ovid,2,undirected
catv,pers,4,undirected
ivv,catv,3,undirected
ivv,lvcr,3,undirected
ivv,ovid,3,undirected
ivv,pers,6,undirected
ivv,verg,4,undirected
lvcr,catv,2,undirected
lvcr,ivv,3,undirected
lvcr,ovid,1,undirected
ovid,catv,2,undirected
ovid,ivv,3,undirected
ovid,lvcr,1,undirected
ovid,verg,6,undirected
pers,catv,4,undirected
pers,ivv,6,undirected
pers,verg,2,undirected
verg,ivv,4,undirected
verg,ovid,6,undirected
verg,pers,2,undirected
