"catv" "ivv" "lvcr" "ovid" "pers" "verg"
"et" 0.95892371547159 3.89086212463675 2.57071530256453 2.74523361374666 3.21059721598563 3.38409741669551
"in" 1.15929583512237 0.964643203099774 1.85685696011884 1.39694490326381 1.27974854063763 1.19096315408577
"est" 1.2881064834693 0.738618017436229 0.773690400049516 1.25993930780164 1.2348450830714 0.265882130832888
"nec" 0.72992700729927 0.653858572812399 0.812890713652025 0.801546754759984 0.583744948361024 0.558509801453699
"non" 1.08773436381852 0.750726509525347 0.581815180837236 0.755451414230656 1.1001347103727 0.438941505931217
"cum" 0.81580077286389 0.730545689376816 0.854154201654666 0.523694285458201 0.898069151324652 0.380730625216324
"quae" 0.7156147130385 0.476267355505328 0.792258969650705 0.380286559366957 0.157162101481814 0.376010824077279
"atque" 0.47230571060541 0.62156926057475 0.808764364851761 0.125481760329838 0.224517287831163 0.464113778672792
"per" 0.08587376556462 0.181627381336778 0.633394540840537 0.352117184599035 0.0673551863493489 0.522324659387684
"quod" 0.64405324173465 0.48433968356474 0.827332934452949 0.346995480095776 0.696003592276605 0.110128693244391
"si" 0.54386718190926 0.867775266386826 0.422950752027069 0.299619713440633 0.673551863493489 0.32409301154778
"ad" 0.24330900243309 0.443978043267678 0.340423776021787 0.353397610724849 0.224517287831163 0.5065919889242
"sed" 0.65836553599542 0.653858572812399 0.280591718417958 0.371323576486255 0.471486304445442 0.229696988766873
"ut" 0.45799341634464 0.318856958346787 0.695289772844499 0.27145033867271 0.381679389312977 0.152606903495799
"qui" 0.51524259338772 0.532773651921214 0.286781241618354 0.257365651288749 0.336775931746744 0.261162329693842
"aut" 0.4293688278231 0.399580238940911 0.319792032020467 0.179259657614054 0.157162101481814 0.338252414964916
"iam" 0.30055817947617 0.399580238940911 0.264086323216902 0.211270310759421 0.60619667714414 0.316226676316038
"quam" 0.41505653356233 0.286567646109138 0.412634880026409 0.27145033867271 0.112258643915582 0.16204650577389
"haec" 0.30055817947617 0.355182434614143 0.257896800016505 0.185661788243127 0.561293219577907 0.330386079733174
"tamen" 0.15743523686847 0.34711010655473 0.348676473622315 0.371323576486255 0.17961383026493 0.059784147761241
"se" 0.38643194504079 0.177591217307071 0.470403763230106 0.157492413475205 0.0224517287831163 0.265882130832888
"nunc" 0.18605982539001 0.193735873425896 0.264086323216902 0.211270310759421 0.493938033228559 0.338252414964916
"de" 0.12881064834693 0.335001614465612 0.315665683220203 0.23303755489827 0.314324202963628 0.176205909191026
"quid" 0.24330900243309 0.476267355505328 0.179496172811488 0.235598407149899 0.763358778625954 0.154180170542148
"mihi" 0.50093029912695 0.133193412980304 0.0165053952010563 0.346995480095776 0.493938033228559 0.21239105125704
"esse" 0.35780735651925 0.10494026477236 0.563246611236048 0.186942214368942 0.112258643915582 0.0314653409269689
"tibi" 0.47230571060541 0.298676138198256 0.150611731209639 0.225354998143382 0.651100134710373 0.171486108051981
"tum" 0.34349506225848 0.048433968356474 0.2125069632136 0.140846873839614 0.112258643915582 0.377584091123627
"quoque" 0.05724917704308 0.0887956086535357 0.332171078421259 0.357238889102293 0 0.0409049432050596
"hic" 0.17174753112924 0.34711010655473 0.121727289607791 0.133164317084726 0.673551863493489 0.297347471759857
"ille" 0.07156147130385 0.250242169841782 0.0680847552043574 0.272730764798525 0.134710372698698 0.242283125137661
"te" 0.50093029912695 0.254278333871489 0.0577688832036972 0.17541837923661 0.314324202963628 0.300494005852553
"ex" 0.31487047373694 0.100904100742654 0.507540902432483 0.085788550429583 0.157162101481814 0.155753437588496
"hoc" 0.31487047373694 0.226025185663545 0.2125069632136 0.180540083739869 0.785810507409071 0.158899971681193
"ab" 0.07156147130385 0.0847594446238295 0.206317440013204 0.248402668408046 0.0449034575662326 0.21239105125704
"quo" 0.20037211965078 0.201808201485308 0.284718067218222 0.160053265726834 0.202065559048047 0.174632642144678
"sic" 0.18605982539001 0.108976428802067 0.179496172811488 0.184381362117313 0.0673551863493489 0.2532959944621
"at" 0.21468441391155 0.0686147885050048 0.233138707214921 0.184381362117313 0.269420745397396 0.199804914886253
"nam" 0.31487047373694 0.270422989990313 0.375497740824032 0.126762186455652 0.134710372698698 0.0629306818539379
"me" 0.55817947617003 0.0686147885050048 0.0206317440013204 0.245841816156417 0.202065559048047 0.228123721720525
"omnia" 0.25762129669386 0.13722957701001 0.420887577626937 0.097312385561915 0.0224517287831163 0.0896762216418615
"enim" 0 0.213916693574427 0.371371392023768 0.135725169336355 0.0673551863493489 0.0629306818539379
"neque" 0.11449835408616 0.0282531482079432 0.377560915224164 0.133164317084726 0.0673551863493489 0.113275227337088
"illa" 0.20037211965078 0.177591217307071 0.0742742784047535 0.280413321553413 0.0673551863493489 0.0912494886882099
"ubi" 0.01431229426077 0.072650952534711 0.247580928015845 0.152370708971946 0.134710372698698 0.169912841005632
"sub" 0.12881064834693 0.072650952534711 0.0742742784047535 0.177979231488239 0.17961383026493 0.251722727415752
"ac" 0.18605982539001 0.238133677752664 0.28265489281809 0.0435344882776988 0.134710372698698 0.180925710330071
"a" 0.37211965078002 0.258314497901195 0.158864428810167 0.158772839601019 0.17961383026493 0.0975425568736037
"ante" 0.1431229426077 0.13722957701001 0.204254265613072 0.13444474321054 0.157162101481814 0.166766306912935
"sunt" 0.15743523686847 0.100904100742654 0.435329798427861 0.102434090065174 0.0449034575662326 0.045624744344105
"ipse" 0.24330900243309 0.141265741039716 0.0804638016051497 0.144688152217058 0.112258643915582 0.23284352285957
"corpore" 0.12881064834693 0.0443978043267678 0.406445356826013 0.112677499071691 0 0.073943551178377
"inter" 0.02862458852154 0.0887956086535357 0.264086323216902 0.0755451414230656 0.112258643915582 0.176205909191026
"quem" 0.22899670817232 0.177591217307071 0.0660215808042254 0.147249004468687 0.224517287831163 0.166766306912935
"erat" 0.01431229426077 0.0686147885050048 0.0165053952010563 0.31242397469878 0.0449034575662326 0.0786633523174224
"qua" 0.1431229426077 0.125121084920891 0.119664115207659 0.133164317084726 0.112258643915582 0.165193039866587
"res" 0.04293688278231 0.0887956086535357 0.435329798427861 0.0358519315228108 0.0673551863493489 0.0440514772977565
"corpora" 0.04293688278231 0.0201808201485308 0.319792032020467 0.107555794568432 0.0224517287831163 0.0723702841320286
"omnis" 0.01431229426077 0.0645786244752987 0.243454579215581 0.0332910792711814 0 0.20295144897895
"sit" 0.08587376556462 0.161446561188247 0.210443788813468 0.139566447713799 0.202065559048047 0.0361851420660143
"vt" 0.21468441391155 0.165482725217953 0.20219109121294 0.101153663939359 0.112258643915582 0.073943551178377
"dum" 0.15743523686847 0.096867936712948 0.0722111040046215 0.153651135097761 0.112258643915582 0.129007897800573
"ne" 0.21468441391155 0.13722957701001 0.123790464007923 0.120360055826579 0.202065559048047 0.102262358012649
"tu" 0.21468441391155 0.193735873425896 0.0392003136025088 0.121640481952394 0.381679389312977 0.11170196029074
"o" 0.38643194504079 0.072650952534711 0.0103158720006602 0.116518777449135 0.291872474180512 0.169912841005632
"saepe" 0.22899670817232 0.0363254762673555 0.247580928015845 0.108836220694247 0.0449034575662326 0.028318806834272
"rerum" 0 0.0443978043267678 0.352802822422579 0.0396932099002548 0.112258643915582 0.0393316761587112
"etiam" 0.08587376556462 0.0403616402970617 0.290907590418618 0.0537778972842162 0.0449034575662326 0.0645039489002863
"sua" 0.02862458852154 0.0443978043267678 0.103158720006602 0.186942214368942 0.0224517287831163 0.0471980113904534
"magis" 0.15743523686847 0.0565062964158863 0.317728857620335 0.0435344882776988 0.0449034575662326 0.0361851420660143
"quis" 0.12881064834693 0.330965450435906 0.0185685696011884 0.0691430107939922 0.314324202963628 0.110128693244391
"fuit" 0.08587376556462 0.0524701323861802 0.0701479296044895 0.180540083739869 0 0.059784147761241
"e" 0.22899670817232 0.0161446561188247 0.210443788813468 0.093471107184471 0.0673551863493489 0.0487712784368019
"rebus" 0.01431229426077 0.0403616402970617 0.361055520023108 0.0166455396355907 0.0673551863493489 0.0393316761587112
"ipsa" 0.12881064834693 0.0686147885050048 0.156801254410035 0.0947515333102857 0 0.0755168182247255
"arma" 0 0.0322893122376493 0.00618952320039613 0.0781059936746949 0.0449034575662326 0.234416789905919
"inde" 0.04293688278231 0.165482725217953 0.169180300810828 0.0819472720521389 0.0449034575662326 0.0487712784368019
"sine" 0.04293688278231 0.0282531482079432 0.115537766407394 0.148529430594502 0.0673551863493489 0.059784147761241
"pater" 0.11449835408616 0.0847594446238295 0.0103158720006602 0.089629828807027 0.0673551863493489 0.180925710330071
"ego" 0.22899670817232 0.0928317726832418 0.0123790464007923 0.13700559546217 0.246969016614279 0.0896762216418615
"multa" 0.07156147130385 0.0403616402970617 0.226949184014525 0.0281693747679228 0.0673551863493489 0.110128693244391
"modo" 0.04293688278231 0.0887956086535357 0.0392003136025088 0.193344344998015 0.0449034575662326 0.028318806834272
"sanguine" 0.07156147130385 0.0524701323861802 0.0350739648022447 0.128042612581467 0 0.12114156256883
"hunc" 0.08587376556462 0.0887956086535357 0.0557057088035652 0.103714516190988 0.224517287831163 0.100689090966301
"his" 0.04293688278231 0.0847594446238295 0.105221894406734 0.0653017324165482 0.0898069151324652 0.124288096661527
"simul" 0.17174753112924 0 0.109348243206998 0.0998732378135443 0 0.100689090966301
"ora" 0.02862458852154 0.0161446561188247 0.0268212672017166 0.13700559546217 0.0449034575662326 0.114848494383437
"hinc" 0.02862458852154 0.0807232805941233 0.094906022406074 0.0512170450325868 0.112258643915582 0.135300965985966
"quos" 0.05724917704308 0.113012592831773 0.0557057088035652 0.0819472720521389 0.0673551863493489 0.113275227337088
"corpus" 0.05724917704308 0.00807232805941233 0.200127916812808 0.085788550429583 0 0.0409049432050596
"nobis" 0.22899670817232 0.0524701323861802 0.216633312013865 0.0435344882776988 0.0449034575662326 0.0409049432050596
"dixit" 0 0.0161446561188247 0 0.204868180130347 0.0224517287831163 0.0440514772977565
"natura" 0 0.0645786244752987 0.30328663681941 0.0268889486421081 0.0224517287831163 0.00157326704634845
"haud" 0.01431229426077 0 0.0742742784047535 0.0678625846681776 0 0.149460369403102
"quibus" 0.07156147130385 0.096867936712948 0.113474592007262 0.0704234369198069 0.112258643915582 0.0645039489002863
"pars" 0.08587376556462 0.0443978043267678 0.0680847552043574 0.108836220694247 0.0673551863493489 0.0692237500393317
"pro" 0.10018605982539 0.072650952534711 0.0392003136025088 0.112677499071691 0.0449034575662326 0.0723702841320286
"ait" 0 0.0161446561188247 0 0.161333691852649 0.0898069151324652 0.0707970170856801
"nisi" 0.05724917704308 0.0686147885050048 0.109348243206998 0.121640481952394 0.157162101481814 0.00314653409269689
