title,line,syllable,length
1,1,vin,long
1,1,cit,long
1,1,-,space
1,1,vir,long
1,1,gi,short
1,1,ne,short
1,1,us,long
1,1,-,space
1,1,de,short
1,1,cor,long
1,2,lon,long
1,2,ge,long
1,2,-,space
1,2,ce,long
1,2,cro,short
1,2,pi,short
1,2,as,long
1,2,-,space
1,2,nu,short
1,2,rus,long
1,3,et,long
1,3,-,space
1,3,quas,long
1,3,-,space
1,3,ta,long
1,3,y,short
1,3,ge,short
1,3,ti,long
1,3,-,space
1,3,iu,short
1,3,gis,long
1,5,ex,long
1,5,er,long
1,5,cet,long
1,5,-,space
1,5,iu,short
1,5,ve,short
1,5,num,long
1,6,-,space
1,5,mo,short
1,5,do,long
1,6,mu,long
1,6,ris,long
1,6,-,space
1,6,quod,long
1,6,-,space
1,6,car,short
1,6,et,short
1,6,-,space
1,6,op,long
1,6,pi,short
1,6,dum,long
1,7,et,long
1,7,-,space
1,7,quas,long
1,7,-,space
1,7,a,long
1,7,o,short
1,7,ni,short
1,7,us,long
1,7,-,space
1,7,la,short
1,7,tex,long
1,8,-,space
1,8,al,long
1,8,phe,long
1,8,os,long
1,8,que,short
1,8,-,space
1,8,sa,short
1,8,cer,long
1,8,-,space
1,8,la,short
1,8,vat,long
1,9,si,long
1,9,-,space
1,9,for,long
1,9,ma,long
1,9,-,space
1,9,ve,short
1,9,lit,short
1,9,-,space
1,9,as,long
1,9,pi,short
1,9,ci,short
1,10,ce,long
1,10,dent,long
1,10,-,space
1,10,ae,long
1,10,so,short
1,10,ni,short
1,10,o,long
1,10,-,space
1,10,du,short
1,10,ci,long
1,11,pro,long
1,11,les,long
1,11,-,space
1,11,ful,long
1,11,mi,short
1,11,nis,short
1,11,-,space
1,11,im,long
1,11,pro,short
1,11,bi,long
1,12,ap,long
1,12,tat,long
1,12,-,space
1,12,qui,long
1,12,iu,short
1,12,ga,short
1,12,-,space
1,12,ti,long
1,12,gri,short
1,12,bus,long
1,13,nec,long
1,13,-,space
1,13,non,long
1,13,-,space
1,13,qui,long
1,13,-,space
1,13,tri,short
1,13,po,short
1,13,das,long
1,13,-,space
1,13,mo,short
1,13,vet,long
1,14,fra,long
1,14,ter,long
1,14,-,space
1,14,vir,long
1,14,gi,short
1,14,nis,short
1,14,-,space
1,14,as,long
1,14,pe,short
1,14,rae,long
1,14,-,space
1,15,ce,long
1,15,det,long
1,15,-,space
1,15,cas,long
1,15,to,short
1,15,re,short
1,15,-,space
1,15,cum,long
1,15,-,space
1,15,su,short
1,15,o,long
1,16,pol,long
1,16,lux,long
1,16,-,space
1,16,cae,long
1,16,sti,short
1,16,bus,short
1,16,-,space
1,16,ap,long
1,16,ti,short
1,16,or,long
1,17,sic,long
1,17,-,space
1,17,sic,long
1,17,-,space
1,17,cae,long
1,17,li,short
1,17,co,short
1,17,lae,long
1,17,-,space
1,17,pre,short
1,17,cor,long
1,17,-,space
1,18,vin,long
1,18,cat,long
1,18,-,space
1,18,fe,long
1,18,mi,short
1,18,na,short
1,18,-,space
1,18,con,long
1,18,iu,short
1,18,ges,long
1,19,vir,long
1,19,-,space
1,19,lon,long
1,19,ge,long
1,19,-,space
1,19,su,short
1,19,pe,short
1,19,ret,long
1,19,-,space
1,19,vi,short
1,19,ros,long
