title,line,syllable,anceps,length,comment1,comment2
1,392,de,UNK,long,,
1,392,lu,long,long,,
1,392,bra,elision,elision,,
1,392,-,space,,,
1,392,et,short,short,,
1,392,-,space,,,
1,392,a,long,long,,
1,392,ras,UNK,long,,
1,392,-,space,,,
1,392,cae,UNK,long,,
1,392,li,short,short,,
1,392,tum,elision,elision,,
1,392,-,space,,,
1,392,et,long,long,,
1,392,-,space,,,
1,392,pa,short,short,,
1,392,tri,short,short,,
1,392,os,long,long,,
1,392,-,space,,,
1,392,la,short,short,,
1,392,res,UNK,long,,
1,392,-,space,,,
1,393,post,UNK,short,?,
1,393,-,space,,,
1,393,lon,long,long,,
1,393,ga,short,short,,
1,393,-,space,,,
1,393,fes,long,long,,
1,393,sus,UNK,short,,
1,393,-,space,,,
1,393,spa,short,short,,
1,393,ti,short,short,,
1,393,a,short,short,,
1,393,-,space,,,
1,393,vix,long,long,?,
1,393,-,space,,,
1,393,cre,UNK,long,,
1,393,dens,long,long,,
1,393,-,space,,,
1,393,mi,short,short,,
1,393,hi,UNK,short,,
1,393,-,space,,,
1,394,sup,UNK,short,,
1,394,plex,long,long,,
1,394,-,space,,,
1,394,a,short,short,,
1,394,do,long,long,,
1,394,ro,UNK,long,?,
1,394,-,space,,,
1,394,vo,long,long,,
1,394,ta,short,short,,
1,394,-,space,,,
1,394,su,short,short,,
1,394,pe,short,short,,
1,394,ris,UNK,long,,
1,394,-,space,,,
1,394,sol,long,long,,
1,394,vi,short,short,,
1,394,te,UNK,short,,
1,394,-,space,,,
1,395,tel,UNK,long,,
1,395,lu,long,long,,
1,395,ris,short,short,,
1,395,-,space,,,
1,395,al,long,long,,
1,395,tum,UNK,short,,
1,395,-,space,,,
1,395,re,short,short,,
1,395,me,short,short,,
1,395,at,short,short,,
1,395,-,space,,,
1,395,ar,long,long,,
1,395,go,short,short,,
1,395,li,short,short,,
1,395,cae,UNK,long,,
1,395,-,space,,,
1,395,de,short,short,,
1,395,cus,UNK,short,,
1,395,-,space,,,
1,396,tan,UNK,short,,
1,396,dem,elision,elision,,
1,396,-,space,,,
1,396,ad,long,long,,
1,396,-,space,,,
1,396,pe,short,short,,
1,396,na,long,long,,
1,396,tes,UNK,long,,
1,396,-,space,,,
1,396,vic,long,long,,
1,396,tor,short,short,,
1,396,-,space,,,
1,396,a,short,short,,
1,396,ga,short,short,,
1,396,mem,UNK,long,?,
1,396,non,long,long,,
1,396,-,space,,,
1,396,su,short,short,,
1,396,os,UNK,long,,
1,396,-,space,,,
1,397,fe,UNK,long,,
1,397,lix,long,long,,
1,397,-,space,,,
1,397,ad,short,short,,
1,397,-,space,,,
1,397,au,UNK,long,,
1,397,res,UNK,long,,
1,397,-,space,,,
1,397,nun,long,long,,
1,397,ti,short,short,,
1,397,us,long,long,,
1,397,-,space,,,
1,397,ve,UNK,short,he comes,
1,397,nit,long,long,,
1,397,-,space,,,
1,397,me,short,short,,
1,397,as,UNK,long,,
1,397,-,space,,,
1,398,u,short,short,,
1,398,bi,short,short,,
1,398,nam,long,long,,
1,398,-,space,,,
1,398,pe,short,short,,
1,398,ti,long,long,,
1,398,tus,UNK,short,,
1,398,-,space,,,
1,398,per,long,long,,
1,398,-,space,,,
1,398,de,short,short,,
1,398,cem,long,long,,
1,398,-,space,,,
1,398,con,UNK,short,,
1,398,junx,long,long,,
1,398,-,space,,,
1,398,mi,short,short,,
1,398,hi,UNK,short,,
1,398,-,space,,,
1,399,an,UNK,short,?,double consonant?
1,399,nos,long,long,,
1,399,-,space,,,
1,399,mo,short,short,,
1,399,ra,long,long,,
1,399,tur,UNK,short,,
1,399,-,space,,,
1,399,pe,short,short,,
