title,line,syllable,length,comment1,comment2,anceps
1,392,de,long,,,UNK
1,392,lu,long,,,long
1,392,bra,elision,,,elision
1,392,-,space,,,space
1,392,et,short,,,short
1,392,-,space,,,space
1,392,a,long,,,long
1,392,ras,long,,,UNK
1,392,-,space,,,space
1,392,cae,long,,,UNK
1,392,li,short,,,short
1,392,tum,elision,,,elision
1,392,-,space,,,space
1,392,et,long,,,long
1,392,-,space,,,space
1,392,pa,short,,,short
1,392,tri,short,,,short
1,392,os,long,,,long
1,392,-,space,,,space
1,392,la,short,,,short
1,392,res,long,,,UNK
1,392,-,space,,,space
1,393,post,short,?,,UNK
1,393,-,space,,,space
1,393,lon,long,,,long
1,393,ga,short,,,short
1,393,-,space,,,space
1,393,fes,long,,,long
1,393,sus,short,,,UNK
1,393,-,space,,,space
1,393,spa,short,,,short
1,393,ti,short,,,short
1,393,a,short,,,short
1,393,-,space,,,space
1,393,vix,long,?,,long
1,393,-,space,,,space
1,393,cre,long,,,UNK
1,393,dens,long,,,long
1,393,-,space,,,space
1,393,mi,short,,,short
1,393,hi,short,,,UNK
1,393,-,space,,,space
1,394,sup,short,,,UNK
1,394,plex,long,,,long
1,394,-,space,,,space
1,394,a,short,,,short
1,394,do,long,,,long
1,394,ro,long,?,,UNK
1,394,-,space,,,space
1,394,vo,long,,,long
1,394,ta,short,,,short
1,394,-,space,,,space
1,394,su,short,,,short
1,394,pe,short,,,short
1,394,ris,long,,,UNK
1,394,-,space,,,space
1,394,sol,long,,,long
1,394,vi,short,,,short
1,394,te,short,,,UNK
1,394,-,space,,,space
1,395,tel,long,,,UNK
1,395,lu,long,,,long
1,395,ris,short,,,short
1,395,-,space,,,space
1,395,al,long,,,long
1,395,tum,short,,,UNK
1,395,-,space,,,space
1,395,re,short,,,short
1,395,me,short,,,short
1,395,at,short,,,short
1,395,-,space,,,space
1,395,ar,long,,,long
1,395,go,short,,,short
1,395,li,short,,,short
1,395,cae,long,,,UNK
1,395,-,space,,,space
1,395,de,short,,,short
1,395,cus,short,,,UNK
1,395,-,space,,,space
1,396,tan,short,,,UNK
1,396,dem,elision,,,elision
1,396,-,space,,,space
1,396,ad,long,,,long
1,396,-,space,,,space
1,396,pe,short,,,short
1,396,na,long,,,long
1,396,tes,long,,,UNK
1,396,-,space,,,space
1,396,vic,long,,,long
1,396,tor,short,,,short
1,396,-,space,,,space
1,396,a,short,,,short
1,396,ga,short,,,short
1,396,mem,long,?,,UNK
1,396,non,long,,,long
1,396,-,space,,,space
1,396,su,short,,,short
1,396,os,long,,,UNK
1,396,-,space,,,space
1,397,fe,long,,,UNK
1,397,lix,long,,,long
1,397,-,space,,,space
1,397,ad,short,,,short
1,397,-,space,,,space
1,397,au,long,,,UNK
1,397,res,long,,,UNK
1,397,-,space,,,space
1,397,nun,long,,,long
1,397,ti,short,,,short
1,397,us,long,,,long
1,397,-,space,,,space
1,397,ve,short,he comes,,UNK
1,397,nit,long,,,long
1,397,-,space,,,space
1,397,me,short,,,short
1,397,as,long,,,UNK
1,397,-,space,,,space
1,398,u,short,,,short
1,398,bi,short,,,short
1,398,nam,long,,,long
1,398,-,space,,,space
1,398,pe,short,,,short
1,398,ti,long,,,long
1,398,tus,short,,,UNK
1,398,-,space,,,space
1,398,per,long,,,long
1,398,-,space,,,space
1,398,de,short,,,short
1,398,cem,long,,,long
1,398,-,space,,,space
1,398,con,short,,,UNK
1,398,junx,long,,,long
1,398,-,space,,,space
1,398,mi,short,,,short
1,398,hi,short,,,UNK
1,398,-,space,,,space
1,399,an,short,?,double consonant?,UNK
1,399,nos,long,,,long
1,399,-,space,,,space
1,399,mo,short,,,short
1,399,ra,long,,,long
1,399,tur,short,,,UNK
1,399,-,space,,,space
1,399,pe,short,,,short
1,399,la,short,,,short
1,399,gus,short,,,short
1,399,-,space,,,space
1,399,an,long,,,long
1,399,ter,short,?,double consonant?,UNK
1,399,ras,long,,,long
1,399,-,space,,,space
1,399,pre,short,,,short
1,399,mit,short,,,UNK
1,399,-,space,,,space
1,400,in,short,,,UNK
1,400,co,short,,,short
1,400,lu,short,,,short
1,400,mis,short,,,short
1,400,-,space,,,space
1,400,auc,long,?,diphthong?,UNK
1,400,tus,short,,,UNK
1,400,-,space,,,space
1,400,glo,long,,,long
1,400,ri,short,,,short
1,400,a,long,,,long
1,400,-,space,,,space
1,400,lau,long,,,UNK
1,400,de,elision,,,elision
1,400,-,space,,,space
1,400,in,long,,,long
1,400,cli,short,,,short
1,400,tus,short,,,UNK
1,400,-,space,,,space
1,401,re,short,,,short
1,401,du,short,,,short
1,401,cem,elision,,,elision
1,401,-,space,,,space
1,401,ex,long,,,long
1,401,pe,short,,,short
1,401,ti,long,,,long
1,401,to,short,?,part?,UNK
1,401,-,space,,,space
1,401,li,long,,,long
1,401,to,short,,,short
1,401,ri,elision,,,elision
1,401,-,space,,,space
1,401,im,long,,,long
1,401,pres,short,?,double consonant?,UNK
1,401,sit,long,,,long
1,401,-,space,,,space
1,401,pe,short,,,short
1,401,dem,short,,,UNK
1,401,-,space,,,space
1,402,sa,short,,,UNK
1,402,cris,long,,,long
1,402,-,space,,,space
1,402,co,short,,,short
1,402,la,long,,,long
