title,line,syllable,length,anceps,new,comment2,anceps
1,392,de,long,UNK,long,,
1,392,lu,long,long,long,,
1,392,bra,elision,elision,elision,,
1,392,-,space,space,space,,
1,392,et,short,short,short,,
1,392,-,space,space,space,,
1,392,a,long,long,long,,
1,392,ras,long,UNK,long,,
1,392,-,space,space,space,,
1,392,cae,long,UNK,long,,
1,392,li,short,short,short,,
1,392,tum,elision,elision,elision,,
1,392,-,space,space,space,,
1,392,et,long,long,long,,
1,392,-,space,space,space,,
1,392,pa,short,short,short,,
1,392,tri,short,short,short,,
1,392,os,long,long,long,,
1,392,-,space,space,space,,
1,392,la,short,short,short,,
1,392,res,long,UNK,long,,
1,392,-,space,space,space,,
1,393,post,short,?,long,UNK,
1,393,-,space,space,space,,
1,393,lon,long,long,long,,
1,393,ga,short,short,short,,
1,393,-,space,space,space,,
1,393,fes,long,long,long,,
1,393,sus,short,UNK,long,,
1,393,-,space,space,space,,
1,393,spa,short,short,short,,
1,393,ti,short,short,short,,
1,393,a,short,short,short,,
1,393,-,space,space,space,,
1,393,vix,long,?,long,long,
1,393,-,space,space,space,,
1,393,cre,long,UNK,long,,
1,393,dens,long,long,long,,
1,393,-,space,space,space,,
1,393,mi,short,short,short,,
1,393,hi,short,UNK,short,,
1,393,-,space,space,space,,
1,394,sup,short,UNK,long,,
1,394,plex,long,long,long,,
1,394,-,space,space,space,,
1,394,a,short,short,short,,
1,394,do,long,long,long,,
1,394,ro,long,?,long,UNK,
1,394,-,space,space,space,,
1,394,vo,long,long,long,,
1,394,ta,short,short,short,,
1,394,-,space,space,space,,
1,394,su,short,short,short,,
1,394,pe,short,short,short,,
1,394,ris,long,UNK,long,,
1,394,-,space,space,space,,
1,394,sol,long,long,long,,
1,394,vi,short,short,short,,
1,394,te,short,UNK,short,,
1,394,-,space,space,space,,
1,395,tel,long,UNK,long,,
1,395,lu,long,long,long,,
1,395,ris,short,short,short,,
1,395,-,space,space,space,,
1,395,al,long,long,long,,
1,395,tum,short,UNK,long,,
1,395,-,space,space,space,,
1,395,re,short,short,short,,
1,395,me,short,short,short,,
1,395,at,short,short,short,,
1,395,-,space,space,space,,
1,395,ar,long,long,long,,
1,395,go,short,short,short,,
1,395,li,short,short,short,,
1,395,cae,long,UNK,long,,
1,395,-,space,space,space,,
1,395,de,short,short,short,,
1,395,cus,short,UNK,long,,
1,395,-,space,space,space,,
1,396,tan,short,UNK,long,,
1,396,dem,elision,elision,elision,,
1,396,-,space,space,space,,
1,396,ad,long,long,long,,
1,396,-,space,space,space,,
1,396,pe,short,short,short,,
1,396,na,long,long,long,,
1,396,tes,long,UNK,long,,
1,396,-,space,space,space,,
1,396,vic,long,long,long,,
1,396,tor,short,short,short,,
1,396,-,space,space,space,,
1,396,a,short,short,short,,
1,396,ga,short,short,short,,
1,396,mem,long,?,long,UNK,
1,396,non,long,long,long,,
1,396,-,space,space,space,,
1,396,su,short,short,short,,
1,396,os,long,UNK,long,,
1,396,-,space,space,space,,
1,397,fe,long,UNK,long,,
1,397,lix,long,long,long,,
1,397,-,space,space,space,,
1,397,ad,short,short,short,,
1,397,-,space,space,space,,
1,397,au,long,UNK,long,,
1,397,res,long,UNK,long,,
1,397,-,space,space,space,,
1,397,nun,long,long,long,,
1,397,ti,short,short,short,,
1,397,us,long,long,long,,
1,397,-,space,space,space,,
1,397,ve,short,he comes,short,UNK,
1,397,nit,long,long,long,,
1,397,-,space,space,space,,
1,397,me,short,short,short,,
1,397,as,long,UNK,long,,
1,397,-,space,space,space,,
1,398,u,short,short,short,,
1,398,bi,short,short,short,,
1,398,nam,long,long,long,,
1,398,-,space,space,space,,
1,398,pe,short,short,short,,
1,398,ti,long,long,long,,
1,398,tus,short,UNK,long,,
1,398,-,space,space,space,,
1,398,per,long,long,long,,
1,398,-,space,space,space,,
1,398,de,short,short,short,,
1,398,cem,long,long,long,,
1,398,-,space,space,space,,
1,398,con,short,UNK,long,,
1,398,iunx,long,long,long,,
1,398,-,space,space,space,,
1,398,mi,short,short,short,,
1,398,hi,short,UNK,short,,
1,398,-,space,space,space,,
1,399,an,short,?,long,double consonant?,UNK
1,399,nos,long,long,long,,
1,399,-,space,space,space,,
1,399,mo,short,short,short,,
1,399,ra,long,long,long,,
1,399,tur,short,UNK,long,,
1,399,-,space,space,space,,
1,399,pe,short,short,short,,
1,399,la,short,short,short,,
1,399,gus,short,short,short,,
1,399,-,space,space,space,,
1,399,an,long,long,long,,
1,399,ter,short,?,long,double consonant?,UNK
1,399,ras,long,long,long,,
1,399,-,space,space,space,,
1,399,pre,short,short,short,,
1,399,mit,short,UNK,short,,
1,399,-,space,space,space,,
1,400,in,short,UNK,long,,
1,400,co,short,short,short,,
1,400,lu,short,short,short,,
1,400,mis,short,short,short,,
1,400,-,space,space,space,,
1,400,auc,long,?,long,diphthong?,UNK
1,400,tus,short,UNK,long,,
1,400,-,space,space,space,,
1,400,glo,long,long,long,,
1,400,ri,short,short,short,,
1,400,a,long,long,long,,
1,400,-,space,space,space,,
1,400,lau,long,UNK,long,,
1,400,de,elision,elision,elision,,
1,400,-,space,space,space,,
1,400,in,long,long,long,,
1,400,cli,short,short,short,,
1,400,tus,short,UNK,long,,
1,400,-,space,space,space,,
1,401,re,short,short,short,,
1,401,du,short,short,short,,
1,401,cem,elision,elision,elision,,
1,401,-,space,space,space,,
1,401,ex,long,long,long,,
1,401,pe,short,short,short,,
1,401,ti,long,long,long,,
1,401,to,short,?,short,part?,UNK
1,401,-,space,space,space,,
1,401,li,long,long,long,,
1,401,to,short,short,short,,
1,401,ri,elision,elision,elision,,
1,401,-,space,space,space,,
1,401,im,long,long,long,,
1,401,pres,short,?,long,double consonant?,UNK
1,401,sit,long,long,long,,
1,401,-,space,space,space,,
1,401,pe,short,short,short,,
1,401,dem,short,UNK,long,,
1,401,-,space,space,space,,
1,402,sa,short,UNK,long,,
1,402,cris,long,long,long,,
1,402,-,space,space,space,,
1,402,co,short,short,short,,
1,402,la,long,long,long,,
1,402,mus,short,UNK,long,,
1,402,-,space,space,space,,
1,402,pros,long,long,long,,
1,402,pe,short,short,short,,
1,402,rum,long,long,long,,
1,402,-,space,space,space,,
1,402,tan,short,UNK,long,,
1,402,dem,long,long,long,,
1,402,-,space,space,space,,
1,402,di,short,short,short,,
1,402,em,short,UNK,short,,
1,402,-,space,space,space,,
1,403,et,short,UNK,short,,
1,403,-,space,space,space,,
1,403,si,long,long,long,,
1,403,-,space,space,space,,
1,403,pro,short,short,short,,
1,403,pi,short,short,short,,
1,403,ti,short,short,short,,
1,403,os,long,UNK,long,,
1,403,-,space,space,space,,
1,403,at,long,long,long,,
1,403,ta,short,short,short,,
1,403,men,long,long,long,,
1,403,-,space,space,space,,
1,403,len,short,UNK,long,,
1,403,tos,long,long,long,,
1,403,-,space,space,space,,
1,403,de,short,short,short,,
1,403,os,long,UNK,long,,
1,403,-,space,space,space,,
1,404,tu,long,UNK,long,,
1,404,-,space,space,space,,
1,404,pan,long,long,long,,
1,404,de,short,short,short,,
1,404,-,space,space,space,,
1,404,vi,long,long,long,,
1,404,vat,short,UNK,long,,
1,404,-,space,space,space,,
1,404,con,long,long,long,,
1,404,iu,short,short,short,,
1,404,gis,long,long,long,,
1,404,-,space,space,space,,
1,404,fra,long,UNK,long,,
1,404,ter,long,long,long,,
1,404,-,space,space,space,,
1,404,mei,short,short,short,,
1,404,-,space,space,space,,
1,405,et,short,UNK,short,,
1,405,-,space,space,space,,
1,405,pan,long,long,long,,
1,405,de,short,short,short,,
1,405,-,space,space,space,,
1,405,te,short,short,short,,
1,405,ne,short,short,short,,
1,405,at,short,UNK,short,,
1,405,-,space,space,space,,
1,405,quas,long,long,long,,
1,405,-,space,space,space,,
1,405,so,short,short,short,,
1,405,ror,long,long,long,,
1,405,-,space,space,space,,
1,405,se,long,UNK,long,,
1,405,des,long,long,long,,
1,405,-,space,space,space,,
1,405,me,short,short,short,,
1,405,a,short,UNK,short,,
1,405,-,space,space,space,,
1,406,me,short,short,short,,
1,406,li,short,short,short,,
1,406,o,long,long,long,,
1,406,ra,short,short,short,,
1,406,-,space,space,space,,
1,406,vo,long,long,long,,
1,406,tis,long,UNK,long,,
1,406,-,space,space,space,,
1,406,pos,long,long,long,,
1,406,co,elision,elision,elision,,
1,406,-,space,space,space,,
1,406,et,short,short,short,,
1,406,-,space,space,space,,
1,406,ob,long,long,long,,
1,406,tes,short,UNK,long,,
1,406,tor,long,long,long,,
1,406,-,space,space,space,,
1,406,de,short,short,short,,
1,406,os,long,UNK,long,,
1,406,-,space,space,space,,
1,407,nam,short,?,long,always?,UNK
1,407,-,space,space,space,,
1,407,cer,long,long,long,,
1,407,ta,short,short,short,,
1,407,-,space,space,space,,
1,407,fa,long,long,long,,
1,407,ri,long,UNK,long,,
1,407,-,space,space,space,,
1,407,sors,long,long,long,,
1,407,-,space,space,space,,
1,407,ma,short,short,short,,
1,407,ris,long,long,long,,
1,407,-,space,space,space,,
1,407,du,short,short,short,,
1,407,bi,short,short,short,,
1,407,i,long,long,long,,
1,407,-,space,space,space,,
1,407,ve,short,short,short,,
1,407,tat,short,UNK,short,,
1,407,-,space,space,space,,
1,408,ut,short,?,long,always?,UNK
1,408,-,space,space,space,,
1,408,spar,long,long,long,,
1,408,sa,short,short,short,,
1,408,-,space,space,space,,
1,408,tu,short,short,short,,
1,408,mi,short,short,short,,
1,408,dum,short,UNK,long,,
1,408,-,space,space,space,,
1,408,clas,long,long,long,,
1,408,sis,short,short,short,,
1,408,-,space,space,space,,
1,408,ex,long,long,long,,
1,408,ce,long,UNK,long,,
1,408,pit,long,long,long,,
1,408,-,space,space,space,,
1,408,ma,short,short,short,,
1,408,re,short,UNK,short,,
1,408,-,space,space,space,,
1,409,quin,long,UNK,long,,
1,409,-,space,space,space,,
1,409,ip,long,long,long,,
1,409,se,elision,elision,elision,,
1,409,-,space,space,space,,
1,409,a,short,short,short,,
1,409,tri,long,long,long,,
1,409,des,long,UNK,long,,
1,409,-,space,space,space,,
1,409,ae,long,UNK,long,,
1,409,quo,short,short,short,,
1,409,re,elision,elision,elision,,
1,409,-,space,space,space,,
1,409,im,long,long,long,,
1,409,men,long,UNK,long,,
1,409,so,long,long,long,,
1,409,-,space,space,space,,
1,409,va,short,short,short,,
1,409,gus,short,UNK,short,,
1,409,-,space,space,space,,
1,410,gra,short,short,short,,
1,410,vi,short,short,short,,
1,410,o,long,long,long,,
1,410,ra,short,short,short,,
1,410,-,space,space,space,,
1,410,pe,short,short,short,,
1,410,la,short,short,short,,
1,410,go,long,UNK,long,,
1,410,-,space,space,space,,
1,410,dam,long,long,long,,
1,410,na,short,short,short,,
1,410,-,space,space,space,,
1,410,quam,long,long,long,,
1,410,-,space,space,space,,
1,410,bel,short,UNK,long,,
1,410,lo,long,long,long,,
1,410,-,space,space,space,,
1,410,tu,short,short,short,,
1,410,lit,short,UNK,long,,
1,410,-,space,space,space,,
1,411,re,short,short,short,,
1,411,me,short,short,short,,
1,411,at,long,long,long,,
1,411,que,short,short,short,,
1,411,-,space,space,space,,
1,411,vic,long,long,long,,
1,411,to,long,UNK,long,,
1,411,-,space,space,space,,
1,411,si,short,short,short,,
1,411,mi,short,short,short,,
1,411,lis,short,short,short,,
1,411,-,space,space,space,,
1,411,ex,long,long,long,,
1,411,i,short,short,short,,
1,411,gu,short,short,short,,
1,411,as,long,long,long,,
1,411,-,space,space,space,,
1,411,tra,short,short,short,,
1,411,hens,long,UNK,long,,
1,411,-,space,space,space,,
1,412,la,short,short,short,,
1,412,ce,short,short,short,,
1,412,ras,long,long,long,,
1,412,que,short,short,short,,
1,412,-,space,space,space,,
1,412,vic,long,long,long,,
1,412,tor,short,UNK,long,,
1,412,-,space,space,space,,
1,412,clas,long,long,long,,
1,412,se,short,short,short,,
1,412,-,space,space,space,,
1,412,de,long,long,long,,
1,412,-,space,space,space,,
1,412,tan,short,UNK,long,,
1,412,ta,long,long,long,,
1,412,-,space,space,space,,
1,412,ra,short,short,short,,
1,412,tes,long,UNK,long,,
1,412,-,space,space,space,,
1,413,quis,short,?,long,long in plural?,UNK
1,413,-,space,space,space,,
1,413,fa,long,long,long,,
1,413,re,short,short,short,,
1,413,-,space,space,space,,
1,413,nos,long,long,long,,
1,413,tras,long,UNK,long,,
1,413,-,space,space,space,,
1,413,hau,long,UNK,long,,
1,413,se,short,short,short,,
1,413,rit,long,long,long,,
1,413,-,space,space,space,,
1,413,ca,long,UNK,long,,
